Query_Index,Triple_Count,GT,CRAWD_config1,re_crawd_config1,Execution_Time_CRAWD
query_12,2,15089,15166,0.5103055205779045,5.541
query_344,2,13131,13170,0.29700708247658214,5.469
query_326,2,12026,12329,2.5195409945118907,6.316
query_353,3,5196,12168,134.18013856812934,4.747
query_354,3,13043,10806,-17.150962201947404,7.108
query_356,3,8495,10629,25.120659211300765,7.295
query_560,2,10004,10165,1.609356257497001,5.485
query_102,4,9775,9637,-1.411764705882353,6.334
query_630,2,8938,8899,-0.43633922577757883,5.66
query_345,2,8606,8548,-0.6739484080873809,5.389
query_10,2,8080,8064,-0.19801980198019803,5.518
query_476,2,7211,7394,2.537789488281792,5.452
query_253,3,17133,7377,-56.942742076694095,6.573
query_186,3,7123,7156,0.46328794047451916,5.734
query_164,3,6963,6954,-0.12925463162429987,5.466
query_626,2,5922,5835,-1.4690982776089159,5.274
query_336,2,5683,5747,1.1261657575224353,5.676
query_210,5,5377,5405,0.5207364701506416,7.608
query_130,3,5237,5170,-1.2793584113041818,6.198
query_348,2,4723,4746,0.4869786152868939,5.115
query_170,2,4432,4408,-0.5415162454873645,5.411
query_166,4,4355,4359,0.09184845005740529,5.882
query_367,2,3857,3938,2.100077780658543,5.455
query_23,4,3378,3385,0.20722320899940794,7.205
query_318,2,3402,3343,-1.7342739564961789,5.695
query_167,4,3810,2455,-35.56430446194226,8.621
query_110,2,2427,2354,-3.0078285949732178,6.293
query_622,2,2166,2169,0.13850415512465375,5.656
query_588,2,2120,2120,0.0,5.281
query_584,2,2100,2044,-2.666666666666667,5.122
query_486,5,2107,2033,-3.5121025154247745,6.48
query_264,2,1959,1979,1.0209290454313424,5.177
query_295,2,1791,1777,-0.7816862088218872,4.98
query_300,2,1648,1678,1.820388349514563,6.515
query_578,2,1183,1172,-0.9298393913778529,5.845
query_526,2,1105,1122,1.5384615384615385,5.379
query_294,4,904,911,0.7743362831858407,5.875
query_99,2,862,860,-0.23201856148491878,5.385
query_477,2,851,851,0.0,4.982
query_134,3,820,821,0.12195121951219512,5.86
query_457,2,762,753,-1.1811023622047243,5.879
query_555,2,707,709,0.2828854314002829,5.362
query_228,2,714,703,-1.5406162464985995,5.685
query_334,2,665,689,3.6090225563909777,5.096
query_478,3,667,668,0.14992503748125938,5.495
query_515,3,726,653,-10.055096418732782,7.651
query_61,3,621,640,3.059581320450886,5.988
query_679,2,219,442,101.82648401826484,30.003
query_324,2,430,407,-5.348837209302325,7.573
query_328,3,392,405,3.316326530612245,6.866
query_634,2,424,401,-5.4245283018867925,5.308
query_627,2,400,400,0.0,5.409
query_305,2,355,355,0.0,4.679
query_427,3,337,331,-1.7804154302670623,6.392
query_169,5,322,326,1.2422360248447204,4.989
query_587,2,258,258,0.0,4.906
query_52,3,256,254,-0.78125,5.889
query_224,5,208,205,-1.4423076923076923,5.973
query_573,2,196,195,-0.5102040816326531,3.678
query_286,3,182,182,0.0,4.419
query_619,2,181,181,0.0,3.598
query_567,2,180,179,-0.5555555555555556,5.311
query_393,2,177,176,-0.5649717514124294,5.034
query_519,3,175,175,0.0,3.96
query_314,2,159,160,0.628930817610063,5.567
query_316,4,155,157,1.2903225806451613,5.5
query_42,3,163,156,-4.294478527607362,6.088
query_506,2,155,153,-1.2903225806451613,5.913
query_524,2,150,148,-1.3333333333333335,4.638
query_3,2,148,147,-0.6756756756756757,5.667
query_656,2,128,143,11.71875,12.424
query_216,4,98,133,35.714285714285715,7.458
query_308,2,124,123,-0.8064516129032258,6.442
query_376,5,121,120,-0.8264462809917356,5.804
query_165,3,120,119,-0.8333333333333334,6.472
query_323,2,112,112,0.0,5.618
query_119,3,106,105,-0.9433962264150944,6.408
query_673,3,101,103,1.9801980198019802,7.009
query_182,2,98,101,3.061224489795918,5.554
query_280,3,118,101,-14.40677966101695,4.572
query_559,2,100,100,0.0,4.842
query_470,2,95,95,0.0,4.829
query_676,2,87,86,-1.1494252873563218,5.134
query_458,2,84,83,-1.1904761904761905,5.568
query_11,2,79,79,0.0,5.173
query_558,2,79,76,-3.79746835443038,5.575
query_350,2,75,74,-1.3333333333333335,5.132
query_485,2,67,67,0.0,5.374
query_162,2,64,61,-4.6875,5.226
query_589,2,59,59,0.0,5.412
query_208,2,60,59,-1.6666666666666667,5.218
query_382,3,57,57,0.0,5.772
query_346,5,50,52,4.0,8.623
query_628,2,50,50,0.0,3.781
query_572,2,46,46,0.0,5.611
query_677,3,45,46,2.2222222222222223,7.535
query_666,2,44,43,-2.272727272727273,5.727
query_551,2,40,39,-2.5,5.676
query_380,2,38,37,-2.631578947368421,4.57
query_529,2,33,32,-3.0303030303030303,5.265
query_202,3,28,28,0.0,5.201
query_298,2,25,25,0.0,4.465
query_373,4,23,23,0.0,5.07
query_357,3,1205,20,-98.3402489626556,5.118
query_319,2,21,20,-4.761904761904762,4.792
