Query_Index,Execution_Time,Result,Triple_Count
query_597,2227,2569536.3504954847,2
query_593,2385,383155.0063533357,2
query_592,2342,0.0,2
query_590,1560,4.005050167833102,2
query_589,1554,81.18055175754546,2
query_588,1996,2120.0,2
query_587,1970,258.0,2
query_586,3160,78537828096.0,2
query_584,1900,2115.8845159861185,2
query_583,2721,821815568.0000001,2
query_582,2710,0.0,2
query_581,2394,6086680991.999999,2
query_579,2073,39404.63074977088,2
query_578,2080,1181.8318201360612,2
query_595,2700,5191071.655073274,2
query_324,3818,426.4862062693264,2
query_402,3097,588657848.0,2
query_322,2835,92681582400.0,2
query_236,2416,13191878.000000002,2
query_235,2602,78352200.0,2
query_231,2609,712676389.9999999,2
query_230,2462,26894709920.0,2
query_229,2611,2618624106.0000005,2
query_228,1741,715.4764289138657,2
query_227,2815,104180820848.99995,2
query_238,2207,56414.62595164527,2
query_323,1605,112.08281589272792,2
query_222,2551,590860765.0,2
query_221,3045,97296080016672.5,2
query_218,2900,15863686544.999998,2
query_208,1403,60.05469044958971,2
query_206,2030,31964014.0,2
query_205,2533,16099017593.0,2
query_204,2630,0.0,2
query_223,2809,77629472585.0,2
query_240,2552,88870986.0,2
query_245,3368,374717345453.9999,2
query_246,2396,24784971273.0,2
query_28,2485,16979447205.0,2
query_277,2420,11638586250.000002,2
query_274,2940,14147367263.0,2
query_270,2673,994889648544.0,2
query_269,2262,35789362619.99999,2
query_268,2552,819315000.0,2
query_267,2189,36855000.0,2
query_264,3216,2519.3935018050543,2
query_263,2640,955704690.0,2
query_261,2995,2013294.0,2
query_260,3727,143342022438.0,2
query_259,2905,20953640736.0,2
query_257,2737,24195526872.0,2
query_255,3924,36359612.318921,2
query_252,2376,648506670.0,2
query_251,2626,16443324072.0,2
query_247,2227,16501895.000000002,2
query_200,2052,1477124.0,2
query_283,2049,970545.5667753468,2
query_2,2671,1.0,2
query_198,2312,1603548845.9999998,2
query_150,1613,15941032.976185003,2
query_147,2680,8500109.249877727,2
query_146,2126,5522434.580408247,2
query_14,2998,2525054.229885402,2
query_135,1915,320723.3541562519,2
query_132,2615,122154248957.99998,2
query_128,3035,302615043012.0,2
query_155,3335,3840513540925.627,2
query_127,2495,4871373181165.338,2
query_12,1755,15088.607486903804,2
query_110,2688,2410.569437475609,2
query_11,1750,78.97559681697612,2
query_106,2351,28749533360.0,2
query_104,19483,5790951798663.858,2
query_103,2593,54810827.0,2
query_10,1580,8083.132788127504,2
query_124,2270,444539560644.0001,2
query_157,2742,1475940331.0,2
query_158,3175,409591947.30351096,2
query_159,3186,3872201975679.163,2
query_197,2922,32602894688.000004,2
